symbol,companyName,sector,industry,marketCap,beta,price,revenue,grossProfit,ebitda,operatingIncome,netIncome,eps,grossMargin,ebitMargin,ebitdaMargin,operatingMargin,netMargin,peRatio,pegRatio,pbRatio,psRatio,fcfMultiple,currentRatio,quickRatio,cashRatio,debtAssets,debtEquity,financialLeverage,assetTurnover,inventoryTurnover,receivablesTurnover,operatingCashFlowSales,freeCashFlowQuality,freeCashFlowPerShare
AAPL,Apple Inc.,Technology,Consumer Electronics,4901758191440,1.097,333.74,416161000000,195201000000,144427000000,133050000000,112010000000,7.49,0.4690516410716045,0.3189366615324358,0.34704597499525425,0.31970799762591884,0.2691506412181824,34.1068090787717,1.5100913295021379,51.79151546797228,9.176121284791222,38.66416728259439,0.8932929222186667,0.858770399261008,0.21695214060169896,0.3128178576498785,1.5241072518411023,4.8721874872852045,1.1584451663368045,38.6428821266177,5.704195622078759,0.26788190147563085,0.8859457132093074,6.607151219185871
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2925464302600,1.13,393.82,281724000000,193893000000,160165000000,128528000000,101832000000,13.7,0.6882374238616519,0.44728883588192697,0.5685174142068123,0.4562195624085985,0.3614601524896707,36.307299270072996,2.3402422246905754,10.764118126581247,13.123654818190854,51.62961737721859,1.3534464445042416,1.3468042317551587,0.2141511705306689,0.18123337043600757,0.326610942735946,1.8021567548525528,0.4551254194244616,93.636460554371,4.030097990129462,0.48331700529596344,0.525925001101629,9.634198842997444
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,4194138171504,1.247,346.77,402963000000,240428000000,179962000000,129166000000,132170000000,10.91,0.5966503128078756,0.3941453681851684,0.4465968339524969,0.3205405955385482,0.32799537426513103,28.689275893675525,0.8390065216387846,9.132260123053953,9.411057590895442,51.76081674992493,2.005333592875566,2.005333592875566,0.2988758577059711,0.09960170070941286,0.14277870757227312,1.4334966828410773,0.6769290469542956,0.0,6.407833222020799,0.4087546499306388,0.4448100635651102,6.0470452294486625
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Specialty Retail,2659477833000,1.461,247.23,716924000000,360510000000,165341000000,79975000000,77670000000,7.29,0.5028566486824266,0.13890593703098236,0.23062556142631577,0.11155296795755199,0.10833784334183261,31.662551440329217,1.0994481052286094,5.983525525160255,3.4307931105668104,319.63845614035085,1.0508153482718285,0.8750166280589895,0.39820187610375907,0.18701607007953136,0.37217228418863196,1.9900551007748166,0.8763902097936291,9.299778212654925,10.585185075816858,0.19460082240237458,0.05515575497799504,0.7221283783783784
NVDA,NVIDIA Corporation,Technology,Semiconductors,4912261010000,2.211,202.81,215938000000,153463000000,144552000000,130387000000,120067000000,4.93,0.7106808435754708,0.656248552825348,0.6694143689392326,0.6038168363141272,0.5560253406070261,37.82352941176471,0.5731422569027613,28.87746263342933,21.034846715260862,46.98397461624395,3.905263812455306,3.239809719242608,0.32972670459845166,0.05518295189141357,0.07255249756823254,1.3147628947251309,1.0441724733200195,2.9189833200953137,5.613736806530443,0.47568283488779184,0.9411787612687162,3.9688000328420707
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1639846785644,1.246,646.01,200966000000,164791000000,104548000000,83276000000,60458000000,23.98,0.8199944269179861,0.4275947175144054,0.5202273021307087,0.41437855159579234,0.3008369574952977,27.52668890742285,-10.752885936693296,7.660025363302845,8.28043992516147,36.09028367563816,2.5987666124868536,2.5987666124868536,0.8574672530834688,0.22921362435488674,0.38618965858508675,1.684846001942525,0.5490559284849776,0.0,10.16571399666144,0.576216872505797,0.39817789291882555,18.289964299881
TSLA,"Tesla, Inc.",Consumer Cyclical,Auto - Manufacturers,1430328404800,1.802,380.84,94827000000,17094000000,11764000000,4355000000,3794000000,1.18,0.18026511436616155,0.059223638837040085,0.12405749417360035,0.04592573845001951,0.04000970187815706,381.11864406779665,-8.093418396495906,17.65765732860952,15.294662912461641,233.17475884244374,2.1644068865485275,1.7736646276092578,0.5206848710348742,0.060781098065396284,0.1019759669819935,1.6777578923018859,0.6881195303542661,6.2728373143963845,20.722683566433567,0.15551477954590992,0.4217807011595579,1.9286821705426356
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,913980861000,0.982,341.1,279745000000,167607000000,81416000000,72595000000,57048000000,20.09,0.5991420758190495,0.25950419131709235,0.29103647965111085,0.25950419131709235,0.20392857781193588,16.03882528621205,10.580278413804571,2.479251386444026,3.212121446317182,8.908512338029288,0.5237872854571897,0.5237872854571897,0.09578297472396047,0.21297159257836334,2.6001081564295134,12.208708799849905,0.06322063775452552,0.0,0.7032479448955479,0.36056765983306227,1.0,36.1698999533833
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,434808069300,1.175,61.27,191567000000,107422000000,40009000000,37695000000,30509000000,3.88,0.5607542008801099,0.19677188659842249,0.20885121132554146,0.19677188659842249,0.15926020661178594,14.175257731958764,0.7312632956962857,1.3357917577652247,2.1145056298840617,32.11523824625387,0.4168936222581219,0.4168936222581219,0.09057842909355154,0.10729082915346438,1.2066362620076967,11.24640634738477,0.0561715156665183,0.0,1.8535572950431056,0.06584119394258928,1.0,1.7125826555689827
V,Visa Inc.,Financial Services,Financial - Credit Services,687297260000,0.754,358.56,40000000000,32145000000,26003000000,23994000000,20058000000,10.22,0.803625,0.619575,0.650075,0.59985,0.50145,33.40313111545988,6.778052022178724,17.488194360178323,16.573999,30.72530750336006,1.0775507874914403,1.0775507874914403,0.5750399452179867,0.2526523934274845,0.6639848057189586,2.628056662006384,0.4014975859957642,0.0,5.466721333880005,0.576475,0.935730083698339,11.110710607621009
