marketCap,beta,price,revenue,grossProfit,ebitda,operatingIncome,netIncome,eps,grossMargin,ebitMargin,ebitdaMargin,operatingMargin,netMargin,peRatio,pegRatio,pbRatio,psRatio,fcfMultiple,currentRatio,quickRatio,cashRatio,debtAssets,debtEquity,financialLeverage,assetTurnover,inventoryTurnover,receivablesTurnover,operatingCashFlowSales,freeCashFlowQuality,freeCashFlowPerShare,quality_score,symbol
0.29080959201213785,0.04571243711856153,0.0025750485255845376,-0.0753518478479125,-0.008041825250305251,0.09479149752681001,0.2579356676394584,0.2034053894570796,-0.07807682102094683,-0.11785928659496343,-0.04079902231659271,-0.0760451287733503,-0.01630131481507606,-0.019438267314281703,0.020647087425805722,-0.0011751570673650118,0.26949249477941595,-0.022095230935519915,0.113055748604131,-0.09633647694252201,-0.13048172431862703,-0.01948370639813599,0.011381146304320253,-0.29642916800878144,-0.03137381887671533,-0.005223985409961151,0.06597402333032924,0.025888211238538725,-0.1341809307940382,0.04020737238445338,-0.116128154182382,0.0,AAPL
0.05447436875869482,0.038646814519439625,0.0638459061165223,0.0013449625513531883,-0.007712555885278479,0.13343159792172343,0.23495175916116415,0.15222264665651994,0.09045187503052336,0.09034753673496783,0.11845263655502464,0.21136395215619957,0.15332639733937126,0.11158459760756259,0.019131538721763743,-0.002202525627351349,-0.03363887028951928,0.06608772011419552,0.08139997976665476,-0.033516715706207914,-0.02657785664212681,-0.01986588832104714,0.0009042721101327604,0.15611395600966896,0.09111530178381883,0.0013190600113382178,0.21993227969094623,0.056385250437063224,0.192073957604958,-0.024106596352058054,0.0005815151509914775,0.0,MSFT
0.2061888094784528,0.013595970758916403,0.015863318738798877,-0.06782233957526801,-0.01942704357757272,0.1820373971032014,0.2381945131658417,0.3047852376452582,0.014736084050877342,0.0033480005071178085,0.05251541786907907,0.053144535503483324,-0.01526673815273452,0.06408514650487183,0.024378317599079737,-0.00034464367916131367,-0.04569587064203358,-0.016847048341071494,0.08107965019971315,0.05547835448320052,0.11362502078802568,-0.008305520647859404,-0.005595314217219975,0.22558558056810218,0.10582422556307793,-0.0007443986302084238,-0.04220934867516416,0.013070043971913008,0.07915673800100789,-0.038596939216630384,-0.13772338259559067,0.0,GOOGL
0.02266636083523337,-0.03222352124751059,-0.08564968333513498,-0.24693826219897919,-0.04965588447294346,0.14613976666260994,-0.011827919818628638,0.030717691700033245,-0.08350447628830497,-0.08574756311682452,-0.2641703182842736,-0.22712684018682133,-0.274952378644696,-0.24769376562244755,0.022330526648088985,-0.0006669579671348318,-0.0689603299728808,-0.15043866079255822,-0.5729564663550152,-0.07483165145542442,-0.12702285344764522,0.005247144230282036,0.0013646958116706198,0.1388959724228325,0.08361847026273833,-0.0026000033590283106,-0.0161739882004539,-0.06302878132951707,-0.24515778577651204,-0.10820464282292586,-0.34302880297532845,0.0,AMZN
0.29206557219969237,-0.19280585304573603,-0.13095014096145746,0.038876121152973966,0.002465089701902271,0.09509839881981827,0.24440047341617277,0.2439221273961746,-0.147550808443131,0.11166677133035496,0.3777172865637786,0.3423004789222293,0.3367290851093435,0.3877477796031686,0.018087262025892014,-1.56184520648909e-05,0.10019176977366037,0.24281383070999993,0.0927425395906198,0.3148551862997471,0.3764486931312274,-0.004096037615265076,-0.0091319746023686,0.2521246088904129,0.11056150625065342,-0.004160896503236326,-0.03403745669875838,0.02753609962388747,0.18051277110206518,0.05007418395015189,-0.21785139504628787,0.0,NVDA
-0.09926627912979942,0.013810080534647398,0.32103461410351625,0.047417703048566746,-0.00038656424842133916,-0.0031198357842048903,0.004950028409334537,-0.05583736519554863,0.36943335577273173,0.2155048654112921,0.09401735888296993,0.14869665392945108,0.10133523490778874,0.025536859086692235,0.025179028825749353,0.01400111675000722,-0.0565734929467527,-0.042103629806384414,0.11934000899476402,0.13649331752544833,0.23996869173689625,0.0679121925705054,0.004724502706891724,0.13359869814175504,0.0957958057332332,0.00044521622986207074,-0.04220934867516416,-0.055387276019725436,0.3327615023520888,-0.04692729317738756,0.334309837214219,0.0,META
-0.12432154727189278,-0.10523495477177044,0.05060862696322047,0.10797039880172743,0.03679393835582885,-0.23092407234804063,-0.3961806750438862,-0.3407871527816078,-0.2493193447060961,-0.3921805704868987,-0.36303532181382614,-0.3654229129200813,-0.35650002491275784,-0.34467780037728224,-0.21835117708990112,0.01070984361768975,0.01729411800313265,0.11458531966232216,-0.3618511985455368,0.07719490307762339,0.06430200277355086,0.021959492216733358,-0.008686245212625563,0.24100525205672477,0.09607860952013189,-0.0008485046808258672,-0.024648114746242372,-0.24770360730327734,-0.30434968312268046,-0.04271089611955851,-0.2965093848437081,0.0,TSLA
-0.18606899927254994,0.07033506132762277,0.010080932544714078,0.002473989439636524,-0.0010954499761854002,-0.059913761463143596,-0.049338146393111584,-0.07298544467579114,0.2638654608226159,0.0057149517502305775,-0.11453925710887496,-0.14873006565503585,-0.0911098773234111,-0.11201357711597139,0.03309109173435114,-0.012400134475226827,-0.09485169701246501,-0.15532351167509856,0.18570560862892194,-0.14678106717739256,-0.20180063463403247,-0.03601678730880191,0.0034312976552654476,-0.7030582382670335,-0.32408881836834735,0.004964984640282833,-0.04220934867516416,0.11699048295207133,0.006182367539639235,0.060581988589111645,1.023681673126948,0.0,JPM
-0.2433709063132408,0.02901187461154606,-0.2752956333619457,0.052779867638245916,0.01405522030985154,-0.16157665617989161,-0.22672390621011093,-0.2064437676453384,-0.17604599859676123,-0.030750084410802018,-0.19237372810182832,-0.2553839643224701,-0.16906032309365646,-0.17541525572331693,0.03437459093053388,-0.00021130406159732725,-0.1033001607368001,-0.1798428731936208,0.12904527324033227,-0.16137409770878336,-0.22455861634962476,-0.036726928155175524,-0.004983098954790588,-0.17645442367591768,-0.2856945508560707,0.00503056324262494,-0.04220934867516416,0.09603529570828352,-0.4401513474965066,0.060581988589111645,-0.30484123358546,0.0,BAC
-0.2131769712967283,0.1191520901942833,0.02788701066618166,0.1392494069896559,0.03300507504312399,-0.19596433225888243,-0.2963617943262344,-0.25899936255677963,-0.003989326621508223,0.19995537887552536,0.3322149477545436,0.3172032913463956,0.3317999395858285,0.31028428335100455,0.021131733178636574,-0.007694619037795419,0.01604203904424247,0.14316408425773583,0.13243885587541498,-0.07118175239568912,-0.08390272303764383,0.02937603942876424,0.006590718398723926,0.028617761862236198,0.05816326898747976,0.0018179644591520177,-0.04220934867516416,0.030214280720762585,0.33315241058997813,0.049100834175731786,0.0575093277365984,0.0,V
