feature,importance
wind_roll_mean_3,0.30314302
solar_lag_24,0.22544485
wind_lag_1,0.19321166
solar_lag_1,0.13110214
solar_lag_48,0.06121511
solar_roll_std_6,0.013790265
hour,0.013749586
wind_lag_2,0.011767854
solar_roll_mean_3,0.008602981
solar_lag_168,0.0057332087
wind_roll_mean_6,0.0050226073
solar_roll_std_3,0.0042875498
hour_sin,0.00404341
wind_lag_3,0.003162725
solar_roll_mean_24,0.0018254124
month_cos,0.0014205535
wind_roll_std_3,0.0012133588
hour_cos,0.0011345422
solar_lag_2,0.0009600721
solar_lag_3,0.000950475
solar_roll_std_24,0.0009013538
solar_roll_mean_6,0.000726271
day_of_year,0.0005470829
solar_roll_mean_168,0.0005006372
sunshine_duration,0.00034385157
solar_roll_std_168,0.00033605236
month,0.0003329761
wind_roll_std_6,0.00032816193
wind_gusts_10m,0.00029855027
wind_direction_10m,0.0002934141
month_sin,0.00028049125
wind_roll_mean_24,0.00026406295
year,0.00026099585
day_of_week,0.00025082307
shortwave_radiation,0.0002496786
wind_roll_mean_168,0.00023538813
cloud_cover,0.0002253471
pressure_msl,0.00020314111
wind_roll_std_24,0.0002014885
wind_lag_24,0.0002002032
wind_roll_std_168,0.00019473721
direct_radiation,0.00019435486
wind_speed_10m,0.00017626838
wind_lag_48,0.00015654947
wind_lag_168,0.00015407593
day_of_month,0.00015150044
relative_humidity_2m,0.00010969615
temperature_2m,0.00010147298
